 #   Year   #nTC            #nUC            #Au          cmtSize                 unqCmtSize               delta             #QC                   #UC/Au
 1 2005   14545           14449           63              2436324                 747486                  58893           0.993399793744          229.349206349
 2 2006   27745           27505           117             4141916                 1375658                 83555           0.991349792755          235.085470085
 3 2007   28903           28740           130             3688665                 1367183                 78356           0.994360447012          221.076923077
 4 2008   47900           47581           180             6081133                 2316779                 125677          0.993340292276          264.338888889
 5 2009   48836           48462           193             5845422                 2396658                 119826          0.992341715128          251.098445596
 6 2010   46310           45956           221             6038126                 2285323                 117834          0.992355862665          207.945701357
 7 2011   51199           50724           257             6489432                 2577986                 130434          0.990722475048          197.369649805
 8 2012   59788           59149           284             7238962                 3024520                 145197          0.989312236569          208.271126761
 9 2013   65550           65063           295             6899474                 3361533                 137027          0.992570556827          220.552542373
 10 2014  56508           56135           285             5883452                 2939433                 114431          0.99339916472           196.964912281
